Name,Position,Height,Weight,Career,Team,Game,First Publish,TimeAve,ShootingRateAve,HitAve,NumberofhandsAve,ThreeRateAve,ThreeHitAve,ThreeNumAve,FoulRateAve,FoulHitAve,FoulNumAve,ReboundsAve,OffRebAve,DefRebAve,AssistsAve,StealAve,BlockAve,TurnoverAve,PersonalFoulAve,PointsAve,WinSum,LoseSum
Winston Kinnard Garland,后卫,1.88,77,7,5,511,315,26.2,43.0%,3.7,8.7,28.1%,0.1,0.5,83.0%,1.8,2.1,2.8,0.8,2.0,4.7,1.3,0.2,1.9,2.4,9.4,207,304
Gary J. Garland,后卫,1.93,82,1,1,78, ,14.2,43.5%,2.0,4.6,31.6%,0.1,0.2,69.2%,0.2,0.3,1.8,0.6,1.1,1.9,0.7,0.1,0.9,1.0,4.3,,
Jack Garfinkel,后卫,1.83,86,3,1,92, , ,27.5%,2.3,8.2, , , ,70.5%,0.7,1.0, , , ,1.5, , , ,1.7,5.2,,
Vernon B. Gardner,前锋-中锋,1.96,91,3,1,151, , ,34.4%,3.4,9.9, , , ,74.8%,2.1,2.8, , , ,1.6, , , ,2.9,8.9,,
Thomas Earl Gardner,后卫,1.96,102,2,2,20,0,7.2,30.5%,0.9,3.0,20.0%,0.4,1.8,33.3%,0.1,0.3,0.6,0.2,0.4,0.2,0.2,0.1,0.4,0.4,2.3,12,8
Kenneth Kay Gardner,前锋,1.96,93,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Baker Gardner,前锋,1.91,88,1,1,50, , ,37.6%,0.8,2.0, , , ,46.4%,0.3,0.6, , , ,0.4, , , ,1.0,1.8,,
Charles Rutland Gardner,前锋,2.03,93,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Alberto Garcia,前锋-后卫,2.01,88,10,2,550,137,21.6,42.7%,2.8,6.7,35.7%,1.1,3.0,79.9%,1.1,1.4,2.5,0.5,2.0,1.4,0.8,0.7,1.0,2.2,7.9,227,323
Alex Ribeiro Garcia,后卫,1.91,100,2,2,10,3,15.9,32.2%,1.9,5.9,27.8%,0.5,1.8,66.7%,0.4,0.6,1.5,0.7,0.8,1.8,0.6,0.1,0.9,1.5,4.7,2,8
Ruben Santiago Garces Jr.,前锋,2.06,111,1,2,13,0,5.6,31.8%,0.5,1.7, ,0.0,0.0,25.0%,0.2,0.6,2.2,1.2,1.0,0.4,0.2,0.2,0.4,1.1,1.2,7,6
Jorge Garbajosa Jr.,前锋,2.06,111,2,1,74,60,26.8,41.5%,3.1,7.5,34.4%,1.0,2.8,73.1%,0.8,1.1,4.7,0.7,4.0,1.7,1.1,0.2,0.9,1.2,8.0,40,34
Robert M. Gantt Jr.,前锋-中锋,1.93,93,1,1,23, , ,32.6%,1.3,3.9, , , ,46.4%,0.6,1.2, , , ,0.2, , , ,2.0,3.1,,
Kevin Douglas Gamble,前锋-后卫,1.96,95,10,4,649,271,22.4,50.2%,3.9,7.9,36.0%,0.4,1.0,81.0%,1.2,1.5,2.2,0.6,1.7,2.0,0.7,0.3,0.9,1.9,9.5,341,308
David P. Gambee,前锋,1.98,98,12,8,750, ,19.6,42.0%,3.8,8.9, , , ,82.2%,3.1,3.7,5.2, , ,1.0, , , ,2.9,10.6,,
Danilo Gallinari,前锋,2.08,102,9,3,469,399,31.1,41.9%,4.6,11.0,36.7%,1.8,4.9,86.4%,4.3,4.9,4.7,0.8,3.9,2.0,0.8,0.4,1.3,1.9,15.3,234,235
Harry J. Gallatin,前锋-中锋,1.98,95,10,2,682, , ,39.8%,4.1,10.3, , , ,77.3%,4.7,6.1, , , ,1.8, , , ,3.1,13.0,,
Chad Austin Gallagher,中锋,2.08,116,1,1,2,0,1.5,100.0%,1.5,1.5, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1,1
Michael Eugene Gale,后卫,1.93,84,6,3,453, ,24.7,47.4%,3.1,6.6, , , ,82.5%,1.1,1.4,2.5,0.5,2.0,4.3,1.9,0.4, ,2.2,7.4,,
Sundiata Gaines,后卫,1.85,84,3,4,113,12,11.6,39.7%,1.6,4.1,30.1%,0.4,1.3,56.2%,0.9,1.6,1.5,0.4,1.1,1.8,0.7,0.0,0.8,0.9,4.5,47,66
Clifton Reece Gaines,后卫,1.98,93,3,3,71,1,8.5,32.4%,0.7,2.1,26.9%,0.1,0.4,60.6%,0.3,0.5,0.7,0.1,0.6,0.7,0.2,0.0,0.4,0.6,1.7,19,52
David Gaines,后卫,1.85,77,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Yasuto Gaines,后卫,1.91,88,5,4,80,10,12.5,42.4%,1.2,2.7,22.9%,0.1,0.6,73.6%,0.7,0.9,0.9,0.2,0.7,3.1,0.5,0.1,0.9,1.2,3.1,33,47
William Roosevelt Gaines,后卫,1.93,84,,,,,,,,,,,,,,,,,,,,,,,,,
Elmer R. Gainer,前锋-中锋,1.98,88,2,2,20, , ,22.7%,0.5,2.2, , , ,64.3%,0.5,0.7, , , ,0.5, , , ,1.8,1.5,,
Deng Gai,前锋,2.06,113,1,1,2,0,2.5, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
Daniel Gadzuric,中锋,2.11,109,10,4,527,164,14.8,50.0%,2.0,4.0,0.0%,0.0,0.0,49.8%,0.7,1.4,4.4,1.7,2.7,0.4,0.5,0.9,0.7,2.4,4.7,215,312
William A. Gabor,后卫-前锋,1.80,77,6,1,307, , ,34.4%,3.5,10.2, , , ,73.7%,2.7,3.7, , , ,2.0, , , ,3.4,9.8,,
Gregory Peck Hyder,前锋,1.98,98,1,1,77, ,17.6,44.7%,2.4,5.3, , , ,71.8%,0.7,0.9,4.3, , ,0.6, , , ,2.4,5.4,,
Joseph W. Hutton Jr.,后卫,1.85,77,2,1,120, , ,33.1%,0.9,2.8, , , ,69.0%,0.7,0.9,1.6, , ,1.0, , , ,1.7,2.5,,
Melvin R. Hutchins,前锋-中锋,1.98,91,7,3,437, ,37.9,38.9%,4.4,11.4, , , ,67.3%,2.3,3.4,9.6, , ,3.0, , , ,2.9,11.1,,
Paul F. Huston,前锋,1.91,79,1,1,46, , ,23.7%,1.1,4.7, , , ,69.7%,1.3,1.9, , , ,0.6, , , ,1.8,3.6,,
Geoffrey Angier Huston,后卫,1.88,79,8,5,496, ,24.7,48.3%,3.7,7.7,25.4%,0.0,0.1,70.8%,1.4,2.0,1.4,0.4,1.0,5.1,0.7,0.1,1.8,1.7,8.8, , 
Roy Leonard Hurley,前锋-后卫,1.88,77,1,1,46, , ,22.4%,2.2,9.7, , , ,60.9%,0.8,1.4, , , ,0.7, , , ,1.8,5.2,,
Robert Matthew Hurley,后卫,1.83,75,5,2,269,62,15.5,35.3%,1.3,3.8,27.2%,0.2,0.9,76.9%,0.9,1.2,1.1,0.2,0.9,3.3,0.4,0.0,1.4,1.3,3.8,106,163
Steven D. Hunter,中锋,2.13,100,8,5,400,130,15.0,56.0%,1.8,3.3,0.0%,0.0,0.0,48.5%,0.9,1.8,3.2,1.2,2.0,0.2,0.1,1.1,0.6,1.6,4.5,200,200
Tegba Othello Hunter,前锋,2.03,102,2,1,23,0,5.4,46.9%,0.7,1.4, ,0.0,0.0,33.3%,0.1,0.4,1.6,0.7,0.9,0.0,0.1,0.3,0.2,0.7,1.4,13,10
Lindsey Benson Hunter Jr.,后卫,1.88,77,17,5,937,439,24.8,38.8%,3.2,8.2,36.0%,1.1,3.2,74.6%,1.0,1.3,2.2,0.5,1.7,2.7,1.2,0.2,1.2,2.0,8.5,518,419
Leslie Hunter,前锋-中锋,2.01,95,1,1,24, ,4.8,28.1%,0.8,2.7, , , ,42.9%,0.3,0.6,2.1, , ,0.5, , , ,0.7,1.8,,
Chris Hunter,前锋,2.11,109,1,1,60,9,13.1,50.2%,1.8,3.6,0.0%,0.0,0.1,75.4%,0.9,1.2,2.8,0.9,1.9,0.6,0.2,0.6,0.5,2.2,4.5,19,41
Cedric R. Hunter,后卫,1.83,82,1,1,1,0,1.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
Brandon Hunter,前锋,2.01,118,2,2,67,12,9.4,47.6%,1.3,2.8,0.0%,0.0,0.0,48.8%,0.6,1.2,2.8,1.1,1.7,0.3,0.3,0.1,0.7,1.2,3.3,24,43
Rodney Clark Hundley,后卫,1.93,84,6,2,431, ,22.1,34.7%,3.2,9.2, , , ,72.1%,2.0,2.8,3.3, , ,3.4, , , ,1.8,8.4,,
Kris Nathan Humphries,前锋,2.06,107,13,9,800,203,17.8,46.3%,2.6,5.6,29.3%,0.1,0.2,70.0%,1.4,2.0,5.4,1.7,3.7,0.7,0.4,0.6,0.9,1.8,6.7,355,445
John Jay Humphries,后卫,1.91,84,11,4,788,557,29.3,47.6%,4.4,9.3,29.7%,0.3,0.9,78.2%,2.0,2.5,2.5,0.7,1.9,5.5,1.5,0.1,1.9,2.8,11.1, , 
Ryan Ashley Humphrey,前锋,2.03,107,3,2,85,1,9.1,34.4%,0.9,2.7,0.0%,0.0,0.0,53.9%,0.5,0.9,2.2,1.0,1.2,0.2,0.2,0.2,0.6,1.3,2.3,44,41
John R. Hummer,前锋-中锋,2.06,104,6,3,327, ,22.7,43.8%,2.7,6.1, , , ,52.4%,1.5,2.9,5.3, , ,1.7, , , ,2.8,6.9,,
Rick Hughes,前锋,2.06,107,1,1,21,0,10.7,48.6%,1.7,3.4,0.0%,0.0,0.0,46.2%,0.6,1.2,2.3,1.1,1.2,0.4,0.1,0.0,0.7,1.4,3.9,4,17
Larry Darnell Hughes,后卫,1.96,83,13,8,727,509,30.8,40.6%,5.1,12.7,30.9%,0.7,2.3,75.7%,3.1,4.1,4.2,1.0,3.2,3.1,1.5,0.4,2.1,2.3,14.1,321,406
Kim Galen Hughes,中锋,2.11,100,5,4,341, ,16.8,44.9%,1.3,2.8, , , ,33.3%,0.2,0.5,4.7,1.7,3.0,0.9,0.9,1.1, ,2.9,2.7,,
Eddie Hughes,后卫,1.78,,3,2,97,8,11.9,41.6%,1.2,2.9,36.4%,0.3,0.8,69.2%,0.4,0.5,1.0,0.2,0.7,1.6,0.7,0.0,0.6,1.3,3.1,48,49
Alfredrick Hughes,前锋-后卫,1.96,98,1,1,68,0,12.7,40.9%,2.2,5.5,17.6%,0.0,0.3,58.3%,0.7,1.2,1.7,0.7,0.9,0.9,0.4,0.1,0.9,1.2,5.2,28,40
Nate Thomas Huffman,中锋,2.16,111,1,1,7,0,10.9,36.0%,1.3,3.6, ,0.0,0.0,62.5%,0.7,1.1,3.3,1.3,2.0,0.7,0.1,0.4,0.4,1.9,3.3,1,6
Troy Hudson,后卫,1.85,77,11,5,517,168,21.8,40.1%,3.3,8.3,33.9%,0.9,2.6,85.8%,1.5,1.7,1.7,0.4,1.3,3.4,0.5,0.1,1.6,1.3,9.0,249,268
Louis Clyde Hudson,前锋-后卫,1.96,95,13,3,890, ,33.5,48.9%,8.3,17.0, , , ,79.7%,3.5,4.4,4.4, , ,2.7, , , ,2.7,20.2,,
Lester Hudson,后卫,1.91,86,4,5,57,0,10.4,37.5%,1.7,4.4,27.7%,0.5,1.8,80.6%,0.9,1.1,1.4,0.3,1.1,1.2,0.6,0.1,1.0,0.9,4.7,32,25
Philip Gregory Hubbard,前锋-中锋,2.03,98,10,2,665, ,23.9,49.5%,4.0,8.1,3.8%,0.0,0.0,70.6%,2.8,4.0,5.3,2.3,3.1,1.3,0.9,0.1,2.0,3.1,10.9, , 
Robert Cecil Hubbard,中锋-前锋,1.98,98,2,1,62, , ,24.9%,1.3,5.4, , , ,67.4%,0.9,1.4, , , ,0.5, , , ,1.2,3.6,,
Bailey E. Howell,前锋,2.01,95,12,4,951, ,32.2,48.0%,6.9,14.3, , , ,76.2%,5.0,6.5,9.9, , ,1.9, , , ,3.7,18.7,,
Stephen Christopher Howard,前锋,2.06,102,4,3,120,0,6.5,48.1%,1.0,2.0, ,0.0,0.0,63.1%,0.9,1.4,1.4,0.6,0.9,0.2,0.3,0.2,0.5,1.2,2.8,85,35
Willie Otis Howard,前锋,2.01,100,1,2,14, ,8.1,42.9%,1.7,4.0, , , ,47.8%,0.8,1.6,2.9,1.3,1.6,0.4,0.1,0.1,0.5,1.7,4.2,,
Maurice Howard,后卫,1.88,77,1,2,32, ,10.8,48.5%,2.0,4.1, , , ,68.6%,0.8,1.1,1.2,0.5,0.7,1.3,0.5,0.3, ,1.6,4.8,,
Juwan Antonio Howard,前锋,2.06,109,19,9,1208,900,30.3,46.9%,5.4,11.5,12.0%,0.0,0.0,76.4%,2.5,3.3,6.1,1.9,4.2,2.2,0.7,0.3,2.0,2.9,13.4,574,634
Joshua Jay Howard,前锋-后卫,2.01,95,10,4,507,403,30.3,44.8%,5.4,12.2,33.2%,0.7,2.0,77.0%,2.8,3.6,5.7,1.7,4.0,1.6,1.0,0.5,1.4,2.6,14.3,329,178
Gregory Darryle Howard,前锋-中锋,2.06,98,2,2,92, ,9.3,38.8%,1.3,3.3, , , ,69.7%,0.8,1.2,2.5, , ,0.6, , , ,1.3,3.4,,
Dwight David Howard,中锋-前锋,2.11,120,14,5,975,974,34.8,58.5%,6.3,10.7,8.8%,0.0,0.1,56.4%,4.9,8.6,12.7,3.6,9.1,1.5,1.0,2.0,3.0,3.2,17.4,562,413
Brian Eugene Howard,前锋,1.98,93,2,1,95,22,17.0,45.8%,2.5,5.5,22.2%,0.0,0.1,75.2%,1.0,1.3,2.8,0.9,1.9,0.9,0.7,0.4,0.9,2.9,6.0,13,82
Tom Wayne Hovasse,前锋,2.03,93,1,1,2,0,2.0,0.0%,0.0,0.5,0.0%,0.0,0.5, ,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0,2
Byron Dwight Houston,前锋,1.96,113,4,3,214,10,12.5,45.6%,1.4,3.1,25.6%,0.0,0.2,67.6%,1.0,1.5,3.0,1.1,1.9,0.5,0.5,0.4,0.8,2.5,3.9,120,94
Allan Wade Houston,后卫,1.98,91,12,2,839,727,33.7,44.4%,6.4,14.3,40.2%,1.6,3.9,86.3%,3.1,3.6,2.9,0.4,2.5,2.4,0.7,0.2,2.1,2.5,17.3,407,432
Edward L. House II,后卫,1.85,82,11,9,717,31,17.3,40.9%,2.9,7.1,39.0%,1.1,2.9,85.1%,0.5,0.6,1.7,0.2,1.5,1.6,0.7,0.1,0.8,1.3,7.5,392,325
Robert J. Houbregs,中锋-前锋,2.01,95,5,2,281, ,23.9,40.4%,3.2,8.0, , , ,72.1%,2.8,3.9,5.5, , ,1.8, , , ,2.5,9.3,,
Wilmer Frederick Hosket,前锋-中锋,2.03,102,4,2,143, ,9.8,48.5%,1.6,3.4, , , ,71.5%,0.7,1.0,2.5, , ,0.7, , , ,1.5,4.0,,
Edward C. Horton,前锋,2.03,104,1,1,45,10,8.3,49.4%,1.8,3.6,0.0%,0.0,0.1,60.9%,0.9,1.5,2.4,1.3,1.1,0.4,0.2,0.1,0.9,1.4,4.5,16,29
Robert Keith Horry,前锋,2.06,100,16,4,1107,481,24.4,42.5%,2.5,6.0,34.1%,0.7,2.1,72.6%,1.2,1.6,4.8,1.5,3.3,2.1,1.0,0.9,1.2,2.4,7.0,743,364
Dennis Horner,前锋,2.06,104,1,1,8,0,2.8,25.0%,0.1,0.5,0.0%,0.0,0.1,75.0%,0.4,0.5,0.6,0.3,0.4,0.0,0.0,0.0,0.1,0.1,0.6,3,5
Jeffrey John Hornacek,后卫,1.91,86,14,3,1077,910,31.5,49.6%,5.5,11.1,40.3%,0.8,1.9,87.7%,2.8,3.1,3.4,0.9,2.5,4.9,1.4,0.2,1.8,2.2,14.5,655,422
Ronald Leroy Horn,前锋,2.01,100,2,2,31, ,10.1,29.8%,0.9,3.0, , , ,67.7%,0.7,1.0,2.5, , ,0.4, , , ,1.6,2.5,,
Alfredo William Horford,中锋,2.16,111,3,2,63,0,6.0,30.0%,0.5,1.7, ,0.0,0.0,62.8%,0.4,0.7,1.3,0.5,0.9,0.1,0.1,0.4,0.5,0.8,1.5,37,26
Alfred Joel Horford,中锋,2.08,111,11,2,668,664,33.3,52.9%,6.1,11.4,35.7%,0.3,1.0,74.9%,1.8,2.5,8.7,2.2,6.4,3.1,0.8,1.2,1.6,2.4,14.3,404,264
Cedrick Tyrone Hordges,前锋-中锋,2.03,100,2,1,145, ,20.5,47.5%,2.9,6.2,18.8%,0.0,0.1,63.9%,1.7,2.7,5.9,1.6,4.2,1.2,0.4,0.3,1.6,3.1,7.6,,
John F. Horan,前锋,2.03,86,1,2,19, ,4.9,28.6%,0.6,2.2, , , ,90.9%,0.5,0.6,0.5, , ,0.1, , , ,1.1,1.8,,
Dennis Hopson,后卫-前锋,1.96,91,5,3,334,119,22.5,43.1%,4.1,9.6,27.1%,0.2,0.7,76.5%,2.5,3.2,2.8,1.3,1.6,1.6,1.0,0.5,1.6,2.0,10.9,116,218
David Dirk Hoppen,中锋-前锋,2.11,107,6,5,169,46,14.2,51.8%,1.9,3.7,20.0%,0.0,0.0,75.1%,1.1,1.4,3.8,1.3,2.5,0.6,0.3,0.2,0.8,2.3,5.0,43,126
Robert M. Hopkins,中锋-前锋,2.03,93,4,1,273, ,18.8,39.4%,3.1,7.9, , , ,76.1%,1.9,2.5,5.6, , ,0.7, , , ,2.4,8.2,,
Thomas Lee Hoover Jr.,中锋,2.06,104,3,2,100, ,12.7,41.3%,1.3,3.1, , , ,59.1%,0.9,1.6,4.3, , ,0.6, , , ,2.6,3.5,,
Carroll L. Hooser,前锋,2.01,104,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Joe Hooper,后卫,1.83,82,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Dwayne Hood,前锋,2.03,101,1,1,2,0,2.0,0.0%,0.0,1.5, ,0.0,0.0, ,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Tyler Deon Honeycutt,前锋,2.03,85,2,1,24,0,5.0,31.4%,0.5,1.5,20.0%,0.0,0.2,71.4%,0.2,0.3,1.0,0.3,0.8,0.4,0.2,0.2,0.3,0.2,1.2,8,16
Jerald DeWayne Honeycutt,前锋-后卫,2.06,111,2,2,54,0,11.7,39.1%,1.8,4.7,36.2%,0.6,1.7,63.2%,0.8,1.3,1.9,0.6,1.4,0.7,0.5,0.1,1.1,1.8,5.1,22,32
William Holzman,后卫,1.78,79,6,2,358, , ,31.7%,2.3,7.3, , , ,68.2%,1.4,2.1, , , ,2.0, , , ,1.3,6.1,,
Joseph J. Holup,前锋,1.98,98,3,2,192, ,18.4,34.2%,2.4,7.0, , , ,78.1%,2.2,2.8,4.4, , ,1.0, , , ,2.7,7.0,,
Richard W. Holub,中锋,1.98,93,1,1,48, , ,29.5%,4.1,13.8, , , ,63.3%,2.4,3.8, , , ,0.8, , , ,3.3,10.5,,
Michael David Holton,后卫,1.93,84,6,4,325,122,18.0,44.1%,2.4,5.6,25.7%,0.1,0.3,80.7%,1.2,1.5,1.4,0.4,1.0,3.0,0.6,0.1,1.3,1.8,6.2, , 
Alvin William Holt,前锋,2.01,95,1,1,6, ,2.3,12.5%,0.2,1.3, , , ,66.7%,0.3,0.5,0.7, , ,0.0, , , ,0.2,0.7,,
James H. Holstein,前锋-后卫,1.91,82,4,1,225, ,15.4,32.3%,1.4,4.4, , , ,64.7%,1.0,1.5,2.9, , ,1.1, , , ,1.9,3.8,,
Dennis R. Holman,后卫,1.91,79,,,,,,,,,,,,,,,,,,,,,,,,,
Essie B. Hollis,前锋,1.98,88,1,1,25, ,6.2,40.0%,1.2,3.0, , , ,75.0%,0.4,0.5,1.8,0.8,1.0,0.2,0.4,0.0,0.6,1.1,2.8,,
Ryan Kenwood Hollins,中锋,2.13,104,10,9,518,76,11.9,58.4%,1.3,2.3,0.0%,0.0,0.0,64.9%,1.0,1.6,2.2,0.9,1.3,0.3,0.2,0.5,0.7,2.0,3.7,223,295
Lionel Eugene Hollins,后卫,1.91,84,10,5,673, ,27.4,44.4%,4.8,10.7, , , ,74.1%,2.1,2.8,2.4,0.6,1.8,4.5,1.6,0.3, ,2.7,11.6,,
Wilbur Holland,后卫,1.83,79,4,2,276, ,29.6,45.2%,5.8,12.9, , , ,79.9%,2.0,2.5,3.1,1.0,2.1,3.3,1.7,0.2, ,2.7,13.6,,
Joseph Burnett Holland Sr.,前锋,1.93,84,3,1,186, , ,33.1%,2.3,7.1, , , ,62.1%,1.2,1.9, , , ,1.8, , , ,2.9,5.8,,
John Bradley Holland,后卫,1.91,82,3,3,93, ,7.4,40.3%,1.3,3.2,19.0%,0.0,0.2,74.6%,0.6,0.8,0.6,0.2,0.4,0.7,0.5,0.0,0.6,0.9,3.2,,
Jrue Holiday,后卫,1.93,93,9,2,527,454,32.4,44.1%,5.7,12.9,36.0%,1.1,3.1,79.1%,1.8,2.3,3.6,0.8,2.8,6.2,1.4,0.4,2.7,2.3,14.3,240,287
Randy Alfred Holcomb,前锋,2.06,102,1,1,4,0,2.8,100.0%,0.3,0.3, ,0.0,0.0, ,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3,1
Douglas M. Holcomb,前锋,1.93,91,1,1,3, , ,25.0%,1.0,4.0, , , ,64.3%,3.0,4.7, , , ,1.7, , , ,1.7,5.0,,
Fredrick Kristian Hoiberg,后卫,1.93,92,10,3,541,61,18.4,43.1%,1.8,4.1,39.6%,0.7,1.7,85.4%,1.2,1.4,2.7,0.3,2.4,1.6,0.8,0.1,0.5,1.4,5.4,245,296
Paul H. Hogue,中锋,2.06,109,2,2,65, ,22.9,36.5%,2.5,6.9, , , ,44.8%,1.2,2.8,7.1, , ,0.7, , , ,3.9,6.3,,
Robert L. Hogsett,前锋,2.01,104,1,1,7, ,3.1,31.3%,0.7,2.3, , , ,100.0%,0.9,0.9,0.4, , ,0.1, , , ,0.7,2.3,,
Paul James Hoffman,后卫-前锋,1.88,88,6,1,317, , ,34.0%,3.6,10.6, , , ,67.6%,3.0,4.5, , , ,2.9, , , ,3.6,10.2,,
Adolph Charles Hoefer,后卫,1.75,72,2,2,65, , ,25.0%,2.0,8.2, , , ,64.6%,1.5,2.3, , , ,0.6, , , ,2.4,5.6,,
Craig Anthony Hodges,后卫,1.88,86,10,4,695,256,21.7,46.1%,3.4,7.4,40.0%,0.8,2.0,82.8%,0.9,1.1,1.3,0.4,0.9,2.5,0.8,0.0,1.2,2.0,8.5, , 
Julius Melvin Hodge,后卫,2.01,95,2,2,23,1,4.3,44.0%,0.5,1.1, ,0.0,0.0,50.0%,0.3,0.5,0.7,0.3,0.3,0.8,0.3,0.0,0.5,0.6,1.2,9,14
Donald Jerome Hodge,中锋,2.13,104,5,2,249,35,14.1,43.7%,1.9,4.2,28.6%,0.0,0.1,71.1%,1.0,1.4,3.2,1.2,2.0,0.8,0.3,0.4,0.9,2.1,4.7,52,197
Darrington O'Neal Hobson,后卫,2.01,95,1,1,5,0,7.8,15.4%,0.4,2.6,0.0%,0.0,1.2, ,0.0,0.0,0.6,0.0,0.6,1.2,0.0,0.0,0.4,0.2,0.8,1,4
Robert J. Hite II,后卫,1.88,83,1,1,12,0,11.3,31.7%,1.6,5.0,21.7%,0.4,1.9,66.7%,0.7,1.0,1.3,0.3,1.0,0.7,0.3,0.2,0.5,0.7,4.3,1,11
Lewis Rufus Hitch,前锋-中锋,2.03,91,6,4,414, ,20.2,37.6%,1.8,4.9, , , ,67.4%,1.3,2.0,5.3, , ,1.2, , , ,1.7,5.0,,
Melvin M. Hirsch,后卫,1.68,75,1,1,13, , ,20.0%,0.7,3.5, , , ,50.0%,0.1,0.2, , , ,0.8, , , ,1.4,1.5,,
Roy Manus Hinson Jr.,前锋-中锋,2.06,95,8,3,507,391,30.7,49.9%,5.5,11.0,0.0%,0.0,0.0,74.1%,3.3,4.4,6.8,2.1,4.7,1.0,0.6,1.7,2.0,3.7,14.2, , 
Kirk James Hinrich,后卫,1.93,86,13,3,879,665,30.7,41.1%,4.0,9.7,37.5%,1.3,3.6,80.0%,1.6,2.0,2.9,0.4,2.6,4.8,1.1,0.3,1.8,2.8,10.9,446,433
Fred Hilton,后卫-前锋,1.91,84,2,1,120, ,17.3,38.8%,4.2,10.7, , , ,74.9%,1.1,1.5,2.1, , ,1.6, , , ,2.0,9.4,,
Darnell Hillman,前锋-中锋,2.06,98,4,5,287, ,23.0,46.6%,3.5,7.4, , , ,59.2%,1.7,2.9,6.6,2.2,4.4,1.4,0.8,1.0, ,3.7,8.6,,
Arthur Sherwood Hillhouse,中锋,2.01,100,2,1,71, , ,27.7%,1.9,6.8, , , ,73.9%,2.1,2.9, , , ,0.6, , , ,2.4,5.9,,
Tyrone Hill,前锋,2.06,109,14,5,801,610,28.0,50.2%,3.5,7.0,0.0%,0.0,0.0,64.3%,2.3,3.6,8.6,3.0,5.6,0.8,0.8,0.5,1.6,3.6,9.4,436,365
Steven Hill,中锋,2.13,112,1,1,1,0,2.0,100.0%,1.0,1.0, ,0.0,0.0, ,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1
Simmie Hill Jr.,前锋,2.01,106,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Craig Hill,前锋,2.08,107,8,5,409,120,18.8,49.7%,3.3,6.7,13.6%,0.0,0.1,69.9%,1.3,1.8,5.8,2.1,3.7,0.8,0.4,0.7,1.0,2.1,7.9,174,235
Grant Henry Hill,前锋,2.03,102,18,4,1026,972,33.9,48.3%,6.2,12.8,31.4%,0.2,0.7,76.9%,4.1,5.4,6.0,1.1,4.9,4.1,1.2,0.6,2.4,2.3,16.7,543,483
George Jesse Hill Jr.,后卫,1.91,87,10,4,620,395,28.9,45.3%,4.1,9.1,38.1%,1.2,3.2,80.1%,2.2,2.7,3.2,0.6,2.6,3.3,0.9,0.3,1.3,2.1,11.7,394,226
Gary W. Hill,后卫,1.93,84,2,2,79, ,14.2,37.1%,2.0,5.3, , , ,63.7%,0.7,1.2,1.6, , ,1.4, , , ,2.2,4.7,,
Cleo Hill,后卫,1.85,84,1,1,58, ,18.1,34.6%,1.8,5.3, , , ,77.4%,1.8,2.4,3.1, , ,2.0, , , ,1.7,5.5,,
Armond G. Hill,后卫,1.93,86,8,4,468, ,25.2,40.8%,2.5,6.0, , , ,82.9%,2.0,2.4,2.0,0.5,1.5,4.7,1.2,0.1, ,3.1,6.9,,
Nene Hilario,前锋-中锋,2.11,113,16,3,887,620,27.2,54.9%,4.5,8.3,14.0%,0.0,0.1,66.2%,2.8,4.2,6.3,1.8,4.5,1.9,1.1,0.8,1.9,3.1,11.9,484,403
Wayne A. Hightower,前锋-中锋,2.03,87,5,3,316, ,22.9,35.9%,3.3,9.2, , , ,74.9%,2.4,3.3,5.9, , ,1.1, , , ,2.9,9.0,,
Johnny Harold High,后卫,1.91,84,4,1,274, ,16.6,43.5%,1.9,4.3,10.5%,0.0,0.1,61.9%,1.4,2.2,2.3,0.8,1.5,1.9,1.2,0.3,1.7,2.6,5.1,,
Kenneth Lee Higgs Jr.,后卫,1.83,82,3,2,216, ,20.5,44.1%,2.5,5.7, , , ,80.4%,1.8,2.2,1.8,0.3,1.5,4.4,1.1,0.1,1.7,3.2,6.8,,
Sean Marielle Higgins,后卫-前锋,2.06,93,6,6,220,27,15.2,42.8%,2.5,5.9,32.1%,0.4,1.3,85.0%,0.7,0.9,1.8,0.5,1.3,1.0,0.3,0.1,1.1,1.6,6.3,90,130
